time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15;cpu_16;cpu_17;cpu_18;cpu_19;cpu_20;cpu_21;cpu_22;cpu_23;cpu_24;cpu_25;cpu_26;cpu_27;cpu_28;cpu_29;cpu_30;cpu_31
499;0;368500;1;-39;0.0;87;n/a;n/a;n/a;0.0;4.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1;704932;1455312;20;0.69;19;1.8;0.0;0.0;3.8;0.0;7.8;3.8;12;3.8;0.0;0.0;0.0;0.0;0.0;5.8;20;1.8;1.8;1.8;3.8;0.0;18;1.8;1.8;0.0;0.0;0.0;1.8;1.8;0.0;20;0.0
998;0;368500;1;-29;0.0;31;n/a;n/a;n/a;8.6;1.2;2.0;8204.322266;83;0.0;0.0;0.0;10;70;33147.347656;43;0.0;3.0;0.0;0.0;1.1;723116;1586696;20;1.0;19;1.8;0.0;0.0;3.8;0.0;14;3.8;14;3.8;0.0;0.0;0.0;0.0;1.8;1.8;20;1.8;1.8;1.8;0.0;0.0;7.8;1.8;3.8;0.0;0.0;0.0;3.8;0.0;1.8;7.8;16
1497;0;368500;1;-24;0.0;-98;n/a;n/a;n/a;9.5;2.3;1.9;8377.953125;69;0.0;0.0;0.0;28;68;48629.921875;11;0.0;5.0;0.0;0.0;1.1;723116;1586696;20;0.88;19;4.0;0.0;0.0;4.0;0.0;14;6.0;12;6.0;0.0;2.0;0.0;2.0;2.0;0.0;22;2.0;2.0;2.0;4.0;0.0;4.0;2.0;4.0;0.0;0.0;0.0;2.0;2.0;0.0;4.0;20
1996;0;368500;1;-26;0.0;-77;n/a;n/a;n/a;2.0;3.9;1.1;7890.196289;0;0.0;0.0;0.0;17;88;45239.214844;59;0.0;4.0;0.0;0.0;1.2;751492;1680460;20;0.94;20;2.0;0.0;0.0;4.0;0.0;10;6.0;14;6.0;2.0;0.0;0.0;0.0;4.0;2.0;18;4.0;2.0;0.0;2.0;2.0;6.0;2.0;6.0;6.0;2.0;0.0;4.0;2.0;4.0;4.0;16
2495;0;368500;1;-24;0.0;-89;n/a;n/a;n/a;15;3.7;3.0;9568.627930;72;0.0;0.0;0.0;28;0.0;93866.664062;27;0.0;5.0;0.0;0.0;1.2;751492;1680460;20;0.88;20;3.8;1.8;1.8;3.8;0.0;14;7.8;12;18;1.8;0.0;1.8;1.8;1.8;0.0;1.8;3.8;1.8;0.0;1.8;1.8;1.8;1.8;5.8;0.0;3.8;0.0;1.8;1.8;0.0;5.8;16
2994;0;368500;1;-36;0.0;-73;n/a;n/a;n/a;20;-5.5;6.0;1431.906616;50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2;751492;1680460;20;0.75;20;4.0;0.0;0.0;4.0;0.0;12;6.0;14;18;2.0;2.0;0.0;0.0;2.0;2.0;2.0;2.0;0.0;2.0;2.0;2.0;2.0;2.0;4.0;2.0;4.0;2.0;4.0;2.0;4.0;2.0;18
3493;0;368500;1;-30;0.0;24;n/a;n/a;n/a;20;-1.6;5.5;4337.917480;84;0.0;0.0;0.0;28;0.0;34200.394531;0;0.0;4.0;0.0;0.0;1.2;751492;1680460;20;0.81;20;4.0;2.0;0.0;4.0;2.0;4.0;0.0;12;12;2.0;0.0;0.0;0.0;0.0;4.0;8.0;2.0;0.0;0.0;2.0;0.0;10;6.0;6.0;6.0;4.0;0.0;2.0;2.0;0.0;2.0;8.0
3992;0;368500;1;-31;0.0;-28;n/a;n/a;n/a;20;-1.4;2.5;4329.411621;81;0.0;0.0;0.0;28;206;34133.332031;0;0.0;4.0;0.0;0.0;1.2;751492;1680460;20;0.94;20;3.8;1.8;0.0;3.8;1.8;5.8;1.8;14;16;3.8;1.8;1.8;0.0;1.8;3.8;20;1.8;0.0;0.0;1.8;0.0;9.8;5.8;5.8;3.8;0.0;0.0;1.8;0.0;0.0;0.0;0.0
4491;0;368500;1;-27;0.0;-73;n/a;n/a;n/a;20;0.14;2.0;1443.137207;97;0.0;0.0;0.0;28;0.0;51200.000000;0;0.0;6.0;0.0;0.0;1.2;751492;1680460;20;1.0;20;4.0;2.0;0.0;4.0;2.0;2.0;2.0;14;22;4.0;2.0;0.0;2.0;2.0;4.0;22;2.0;0.0;0.0;2.0;0.0;18;8.0;8.0;0.0;0.0;0.0;4.0;0.0;2.0;0.0;0.0
4990;0;368500;1;-32;0.0;41;n/a;n/a;n/a;20;-1.5;2.8;4346.456543;75;0.0;0.0;0.0;28;206;42834.644531;0;0.0;4.0;0.0;0.0;1.2;751492;1680460;20;1.0;20;5.8;1.8;0.0;5.8;1.8;0.0;3.8;14;5.8;5.8;1.8;0.0;0.0;1.8;5.8;12;3.8;0.0;0.0;1.8;0.0;18;5.8;5.8;14;1.8;0.0;1.8;1.8;0.0;0.0;7.8
