time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15;cpu_16;cpu_17;cpu_18;cpu_19;cpu_20;cpu_21;cpu_22;cpu_23;cpu_24;cpu_25;cpu_26;cpu_27;cpu_28;cpu_29;cpu_30;cpu_31
1999;0;368640;1;-5.8;0.0;17;n/a;n/a;n/a;13;18;1.2;10100.512695;33;0.0;0.0;0.0;18;0.0;34662.562500;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.97;19;0.0;0.50;0.50;0.50;0.50;3.5;0.0;0.0;0.50;13;0.50;0.50;3.5;0.50;1.5;0.0;0.50;0.0;0.0;7.0;0.0;11;0.0;0.0;0.50;2.5;2.0;0.50;0.50;1.5;0.50;0.50
3998;0;368640;1;-5.6;0.0;2.2;n/a;n/a;n/a;0.0;18;0.0;0.0;0.0;0.0;0.0;0.0;28;0.0;2145.956543;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.97;19;0.45;0.0;0.0;4.0;0.0;2.5;0.0;0.0;0.95;12;0.45;0.45;3.5;0.45;1.5;0.45;0.0;0.0;0.0;3.0;0.0;12;0.0;0.0;0.45;3.5;0.45;0.95;0.0;0.95;0.0;0.95
5997;0;368640;1;-5.7;0.0;-0.98;n/a;n/a;n/a;0.0;18;0.0;0.0;0.0;0.0;0.0;0.0;28;0.0;2151.260498;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;15;0.98;19;3.5;1.00;2.0;6.0;2.0;8.0;2.5;1.00;9.0;13;3.0;7.0;11;3.0;4.0;2.5;1.5;1.5;2.0;5.5;2.0;7.5;1.5;1.5;18;19;6.0;14;5.0;4.5;2.5;2.0
7996;0;368640;1;-5.5;0.0;-0.73;n/a;n/a;n/a;0.0;18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4;905196;1772004;15;0.98;19;1.5;1.00;1.5;7.0;1.00;12;1.00;1.00;11;3.5;1.5;2.0;5.0;1.5;2.5;1.5;1.00;2.5;1.5;2.0;1.5;1.5;3.0;1.00;3.0;16;2.0;7.0;2.0;3.0;2.0;1.5
9995;0;368640;1;-5.5;0.0;2.3;n/a;n/a;n/a;0.0;18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.97;19;2.5;1.5;2.0;3.0;1.5;6.5;5.0;0.95;8.0;17;4.0;3.5;7.5;3.0;3.0;2.5;2.5;2.0;1.5;6.5;2.0;7.0;2.0;0.95;11;11;3.5;7.0;4.5;9.5;5.5;2.5
11994;0;368640;1;-5.7;0.0;6.4;n/a;n/a;n/a;25;18;4.8;2292.490234;0;0.0;0.0;0.0;28;0.0;19351.779297;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.98;19;2.0;0.95;1.5;4.0;0.95;1.5;2.5;0.45;4.5;5.0;2.0;3.0;6.0;2.0;2.0;1.5;2.0;1.5;1.5;5.5;1.5;12;3.0;0.95;4.5;15;8.5;3.0;3.5;3.5;3.0;2.0
13993;0;368640;1;-5.8;0.0;4.6;n/a;n/a;n/a;25;18;3.8;2283.464600;0;0.0;0.0;0.0;28;0.0;21417.322266;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.95;19;1.5;1.00;0.50;2.5;0.50;0.50;2.0;0.50;8.0;12;1.00;1.5;5.0;2.0;1.5;1.00;0.50;1.00;1.00;6.0;1.00;12;1.5;0.50;8.5;5.5;2.5;2.0;2.0;2.0;1.5;1.00
15992;0;368640;1;-5.7;0.0;-3.3;n/a;n/a;n/a;25;18;6.2;2295.893066;0;0.0;0.0;0.0;28;0.0;21533.894531;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.95;19;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;14;0.0;0.0;4.0;0.0;0.45;0.0;0.0;0.0;0.0;7.0;0.0;12;0.0;0.0;0.45;0.45;0.0;0.95;0.45;0.95;0.95;0.0
17991;0;368640;1;-5.7;0.0;5.1;n/a;n/a;n/a;25;18;3.6;2297.029785;0;0.0;0.0;0.0;28;0.0;17235.644531;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.97;19;0.50;0.0;0.0;5.0;0.50;5.5;0.0;0.50;1.5;4.0;0.50;1.5;4.5;1.00;1.00;1.00;0.50;0.0;0.50;3.0;0.0;7.0;2.0;0.50;1.5;12;1.5;0.50;1.5;1.5;1.5;0.50
19990;0;368640;1;-5.7;0.0;2.7;n/a;n/a;n/a;25;18;3.8;2289.097168;0;0.0;0.0;0.0;28;0.0;17176.123047;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.95;19;0.45;0.0;0.45;0.0;0.0;6.0;0.0;0.0;0.95;3.5;0.45;0.0;3.5;0.0;0.0;0.45;0.0;0.0;0.0;7.0;0.0;5.5;2.0;0.0;0.45;13;0.0;0.0;0.95;0.95;0.95;0.45
21989;0;368640;1;-5.7;0.0;1.8;n/a;n/a;n/a;25;18;3.6;2290.227051;0;0.0;0.0;0.0;28;0.0;19332.675781;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.95;19;0.0;0.0;0.0;0.0;0.0;6.5;0.0;0.0;0.50;7.5;0.50;1.00;4.0;0.50;0.50;0.0;0.0;0.0;0.0;7.0;0.0;6.0;2.0;0.0;2.0;8.5;0.50;0.50;0.50;1.5;1.5;0.0
23988;0;368640;1;-5.6;0.0;-0.35;n/a;n/a;n/a;25;18;4.4;2284.588867;0;0.0;0.0;0.0;28;0.0;17142.294922;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.95;19;0.50;0.0;0.0;0.50;0.0;6.5;0.0;0.0;1.00;0.0;0.0;0.0;3.5;0.0;1.00;0.0;0.0;0.0;0.0;7.0;0.0;5.5;2.0;0.50;0.50;15;1.00;1.00;1.00;1.00;1.00;0.0
25987;0;368640;1;-5.7;0.0;-1.7;n/a;n/a;n/a;25;18;4.6;2289.097168;0;0.0;0.0;0.0;28;0.0;17176.123047;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.97;19;0.0;0.0;0.0;7.0;0.0;6.0;0.0;0.0;0.45;0.0;0.45;0.45;4.0;0.45;0.45;0.45;0.0;0.0;0.0;0.0;0.0;6.0;2.0;0.0;0.0;15;0.0;0.0;0.0;0.95;0.95;0.45
27986;0;368640;1;-5.7;0.0;6.5;n/a;n/a;n/a;25;18;4.2;2291.357910;0;0.0;0.0;0.0;28;0.0;17193.085938;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.95;19;0.95;0.0;0.0;0.45;7.0;6.5;0.0;0.0;0.45;3.0;0.45;0.45;4.0;0.0;0.45;0.0;0.0;0.45;0.45;0.0;0.0;6.0;2.0;0.0;1.5;14;0.0;0.95;1.5;1.5;2.0;0.0
29985;0;368640;1;-5.7;0.0;-0.69;n/a;n/a;n/a;25;18;3.6;2294.757568;0;0.0;0.0;0.0;28;0.0;17218.595703;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.97;19;0.0;0.0;0.0;0.0;7.0;6.0;0.0;0.0;0.45;0.0;0.45;0.45;3.5;0.45;0.0;0.45;0.0;0.0;0.0;0.0;0.0;5.5;2.0;0.0;0.0;15;0.45;0.0;0.45;0.95;1.5;0.45
31984;0;368640;1;-5.7;0.0;-0.35;n/a;n/a;n/a;25;18;4.0;2293.623291;0;0.0;0.0;0.0;28;0.0;17210.083984;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.95;19;0.0;0.0;0.0;0.0;4.5;6.5;0.0;0.0;0.50;0.50;0.50;0.50;3.5;0.0;0.50;0.0;0.0;0.0;0.0;0.0;3.0;6.0;2.0;0.50;1.00;15;0.0;0.50;0.50;1.00;2.5;0.0
33983;0;368640;1;-5.6;0.0;5.4;n/a;n/a;n/a;25;18;4.4;2283.464600;0;0.0;0.0;0.0;28;0.0;17133.857422;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.95;19;0.50;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.50;14;0.0;0.50;3.5;0.50;0.50;0.0;0.0;0.0;0.0;0.0;7.0;6.0;2.0;0.0;0.0;1.5;0.50;0.50;0.0;1.5;2.0;0.50
35982;0;368640;1;-5.6;0.0;2.5;n/a;n/a;n/a;25;18;4.0;2292.490234;0;0.0;0.0;0.0;28;0.0;21501.976562;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.95;19;0.0;0.0;0.0;0.0;0.0;6.0;0.45;0.0;0.45;15;0.45;0.45;3.5;0.0;0.45;0.45;0.0;2.0;0.0;0.0;7.0;5.5;0.0;0.0;0.45;0.0;0.0;0.0;0.45;0.95;2.0;0.0
37981;0;368640;1;-5.6;0.0;-9.5;n/a;n/a;n/a;25;18;4.2;2284.588867;0;0.0;0.0;0.0;28;0.0;17142.294922;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.95;19;0.50;0.0;0.0;0.0;0.50;6.5;0.0;0.0;1.5;15;0.50;1.00;4.0;0.50;0.50;0.0;0.0;2.0;0.0;0.0;7.0;6.5;0.0;0.0;0.0;0.50;0.50;1.00;2.0;1.00;1.00;0.50
39980;0;368640;1;-5.7;0.0;11;n/a;n/a;n/a;25;18;4.2;2287.968506;0;0.0;0.0;0.0;28;0.0;21459.566406;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.97;19;0.45;0.0;0.0;0.0;0.0;7.5;0.0;0.0;0.45;15;0.0;0.45;3.5;0.0;0.45;0.0;0.0;1.5;0.0;0.0;0.0;12;0.0;0.0;0.45;0.45;0.45;0.45;0.45;2.0;1.5;0.45
41979;0;368640;1;-5.8;0.0;-0.83;n/a;n/a;n/a;25;18;4.6;2285.714355;0;0.0;0.0;0.0;28;0.0;19294.582031;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.95;19;0.50;0.0;0.0;0.0;0.0;7.5;0.0;0.0;1.5;11;0.50;0.50;3.5;0.0;0.50;0.0;0.0;2.0;0.0;0.0;0.0;12;0.0;0.0;1.5;5.0;0.0;0.0;0.50;1.00;1.5;0.50
43978;0;368640;1;-5.8;0.0;5.9;n/a;n/a;n/a;25;18;4.0;2291.357910;0;0.0;0.0;0.0;28;0.0;17193.085938;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.97;19;0.0;0.45;0.45;0.45;0.0;7.5;0.0;0.0;0.45;0.45;0.45;0.95;3.5;0.45;0.45;0.45;0.0;2.0;0.45;0.0;0.0;12;0.45;0.45;0.95;15;0.45;0.45;0.45;1.5;2.0;0.95
45977;0;368640;1;-5.7;0.0;13;n/a;n/a;n/a;25;18;3.8;2292.490234;0;0.0;0.0;0.0;28;0.0;17201.580078;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.95;19;0.0;0.0;0.0;0.0;0.0;7.5;0.0;0.0;0.45;0.45;0.45;0.45;3.5;0.0;0.45;0.0;0.0;2.0;0.0;0.0;0.0;12;0.0;0.0;0.0;15;0.0;0.45;0.0;0.95;1.5;0.45
47976;0;368640;1;-5.8;0.0;5.9;n/a;n/a;n/a;25;18;4.0;2295.893066;0;0.0;0.0;0.0;28;0.0;19380.503906;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.97;19;0.50;0.0;0.0;0.0;0.0;8.0;0.50;0.50;1.00;2.5;0.50;1.5;4.0;0.50;1.00;0.50;0.50;2.0;0.0;0.0;0.0;12;0.0;0.0;1.00;14;0.50;0.0;0.50;1.00;1.00;0.50
49975;0;368640;1;-5.8;0.0;-3.4;n/a;n/a;n/a;25;18;4.4;2287.968506;0;0.0;0.0;0.0;28;0.0;19313.609375;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.97;19;0.45;0.0;0.0;0.0;0.0;7.5;0.0;0.0;0.95;15;0.45;0.95;3.5;0.45;0.45;0.0;0.95;2.0;0.0;0.0;0.0;12;0.0;0.0;0.45;0.0;0.0;0.45;0.0;0.95;1.5;0.0
51974;0;368640;1;-5.8;0.0;0.63;n/a;n/a;n/a;26;18;2.4;2353.405762;33;0.0;0.0;0.0;28;0.0;21480.750000;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.98;19;0.0;0.50;0.0;0.0;0.0;7.5;1.00;0.0;2.0;15;0.50;0.50;3.5;0.0;0.0;0.0;1.00;1.5;0.0;0.50;0.50;11;0.50;0.0;0.0;1.00;0.50;0.0;0.50;1.00;1.00;0.0
53973;0;368640;1;-5.8;0.0;3.4;n/a;n/a;n/a;25;18;4.4;2297.029785;0;0.0;0.0;0.0;28;0.0;19390.099609;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.95;19;0.45;2.0;0.45;0.0;0.0;6.0;7.5;0.0;0.45;15;0.45;0.45;4.0;0.45;0.45;0.0;0.0;0.0;0.0;0.45;0.0;6.0;0.0;0.45;0.0;0.45;0.0;0.45;0.0;0.95;1.5;0.0
55972;0;368640;1;-5.8;0.0;1.9;n/a;n/a;n/a;25;18;4.0;2291.357910;0;0.0;0.0;0.0;28;0.0;19342.222656;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.95;19;0.0;2.0;1.00;0.50;0.50;5.0;7.0;0.0;0.50;15;0.0;0.50;3.5;0.0;0.50;0.0;0.0;0.0;0.0;0.0;0.0;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.00;1.00;0.50
57971;0;368640;1;-5.7;0.0;-2.3;n/a;n/a;n/a;25;18;4.6;2287.968506;0;0.0;0.0;0.0;28;0.0;17167.652344;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.97;19;0.50;1.00;1.00;0.0;0.0;0.50;7.0;0.0;2.5;3.0;0.50;0.0;3.5;0.0;0.50;0.50;0.0;1.5;0.0;0.0;0.0;12;0.50;0.0;0.50;13;0.50;0.50;1.5;1.5;1.00;0.50
59970;0;368640;1;-5.6;0.0;5.4;n/a;n/a;n/a;25;18;4.0;2291.357910;0;0.0;0.0;0.0;28;0.0;19342.222656;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.97;19;0.0;0.0;0.95;0.0;0.0;0.0;7.0;0.0;0.45;0.0;0.45;0.45;4.0;0.45;0.45;0.0;0.0;1.5;0.0;0.45;0.0;12;0.0;0.0;0.45;15;0.0;0.0;0.45;0.95;0.95;0.0
61969;0;368640;1;-5.6;0.0;-2.4;n/a;n/a;n/a;25;18;4.6;2290.227051;0;0.0;0.0;0.0;28;0.0;17184.599609;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.95;19;0.45;0.0;0.0;0.0;0.0;0.0;6.5;0.0;1.5;0.95;0.45;0.45;3.5;0.0;0.45;0.45;0.0;2.0;0.45;0.45;0.95;12;0.45;0.0;0.45;15;0.0;0.45;0.45;1.5;1.5;0.0
63968;0;368640;1;-5.6;0.0;5.6;n/a;n/a;n/a;25;18;3.8;2295.893066;0;0.0;0.0;0.0;28;0.0;21533.894531;0;0.0;0.0;0.0;0.0;1.4;905196;1772004;16;0.97;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.50;0.50;0.0;0.50;3.5;0.0;0.0;0.0;0.0;2.0;1.00;0.0;0.0;12;7.5;0.0;0.0;15;0.50;0.0;0.50;1.00;1.00;0.50
